_page,_row,_table,,교육일정,보수교육기관명,보수교육기관지정번호,순번,온라인과정,전화번호,주소,지역                                                                      전체                               서울특별시부산광역시대구광역시인천광역시광주광역시대전광역시울산광역시세종특별자치시경기도충청북도충청남도전라남도경상북도경상남도제주특별자치도강원특별자치도전북특별자치도황해도                           전체                                                          전체                                                          전체,팩스번호
1,1,1, [링크],,,,,,,,지역                                                                      전체                               서울특별시부산광역시대구광역시인천광역시광주광역시대전광역시울산광역시세종특별자치시경기도충청북도충청남도전라남도경상북도경상남도제주특별자치도강원특별자치도전북특별자치도황해도                           전체                                                          전체                                                          전체,
1,2,1,,,,,,,,,교육제공방법                                                                           전체                                         대면                                         온라인                                  전체                                                                    교육기관구분                                                                  전체                                      요양보호사 양성교육기관                                      장기요양요원지원센터                                      기타                                                                        전체,
1,3,1,,,,,,,,,교육일자                                                                    ~                                                                    기관명,
1,1,2,,보기 [링크],(주)올윈에듀,60000000018,1,Y,1688-2447-,https://care.allwinedu.net/ [링크],,02  -6280-0411
1,2,2,,보기 [링크],365평생교육원,60000000007,2,Y,02  -336 -3018,https://www.365ecenter.com [링크],,02  -336 -3019
1,3,2,,보기 [링크],사)대한요양보호사교육기관협회,60000000010,3,Y,010 -6328-5292,https://www.aeicw.co.kr [링크],,02  -929 -6262
1,4,2,,보기 [링크],서울시 어르신돌봄종사자종합지원센터,60000000006,4,Y,02  -389 -7790,https://edudolbom.org [링크],,02  -389 -7789
1,5,2,,보기 [링크],세종요양보호사교육원,60000000002,5,Y,055 -755 -4988,https://sejong.step.or.kr [링크],,055 -755 -4987
1,6,2,,보기 [링크],우리마더,60000000004,6,Y,033 -813 -9800,https://bongedu.step.or.kr [링크],,033 -763 -5554
1,7,2,,보기 [링크],탑클래스간호학원 부설요양보호사교육원,60000000013,7,Y,063 -277 -7701,http://classedu.kr [링크],,063 -277 -7702
1,8,2,,보기 [링크],한국보건복지인재원,60000000021,8,Y,1600-8810-,https://edu.kohi.or.kr/e.do [링크],,043 -904 -3618
1,9,2,,보기 [링크],한국요양보호사교육원협회,60000000009,9,Y,1566-7683-,https://www.한교협.net [링크],,0502-544 -8871
1,10,2,,보기 [링크],한국요양보호협회,60000000012,10,Y,02  -2026-0010,https://www.carei.kr [링크],,02  -2026-0025
2,1,1, [링크],,,,,,,,지역                                                                      전체                               서울특별시부산광역시대구광역시인천광역시광주광역시대전광역시울산광역시세종특별자치시경기도충청북도충청남도전라남도경상북도경상남도제주특별자치도강원특별자치도전북특별자치도황해도                           전체                                                          전체                                                          전체,
2,2,1,,,,,,,,,교육제공방법                                                                           전체                                         대면                                         온라인                                  전체                                                                    교육기관구분                                                                  전체                                      요양보호사 양성교육기관                                      장기요양요원지원센터                                      기타                                                                        전체,
2,3,1,,,,,,,,,교육일자                                                                    ~                                                                    기관명,
2,1,2,,보기 [링크],㈜편안한요양보호사교육원,50129000006,11,N,02  -495 -3600,서울특별시 도봉구 도봉로 681-0 [링크],,02  -6442-6215
2,2,2,,보기 [링크],(사)도시생명네트워크 부설 대동요양보호사교육원,50251000005,12,N,042 -537 -3880,대전광역시 동구 용운로1번길 3-0 [링크],,042 -537 -3881
2,3,2,,보기 [링크],(사)충남요양보호사협회부설아산배방요양보호사교육원,50563000006,13,N,041 -531 -2301,충청남도 아산시 배방읍 북수동로 43-0 [링크],,041 -545 -8666
2,4,2,,보기 [링크],(사)한국노인장기요양기관협회 대전교육원,50251000010,14,N,042 -471 -7474,대전광역시 동구 태전로 52-0 [링크],,042 -471 -7473
2,5,2,,보기 [링크],(사)한국여학사협회 강북여성인력개발센터 부설 요양보호사교육원,50128000006,15,N,02  -980 -2381,서울특별시 강북구 도봉로 261-0 [링크],,02  -980 -2379
2,6,2,,보기 [링크],(사)한국재가장기요양기관협회 대구광역시지부,50221000013,16,N,053 -637 -0861,대구광역시 달서구 비슬로550길 32-0 [링크],,053 -722 -0954
2,7,2,,보기 [링크],(재)광주광역시사회서비스원 장기요양요원지원센터,50242000008,17,N,062 -607 -5294,광주광역시 서구 화정로 149-0 [링크],,062 -607 -5299
